1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
395	-0.142592	241.385397	0.005575	4.2
396	-0.255596	241.093869	0.005108	4.0
397	-0.376210	240.803278	0.004966	4.2
398	-0.189451	240.513619	0.012203	3.7
399	-0.294353	240.224887	0.007918	4.3
400	-0.129223	239.937077	0.007996	4.4
401	-0.560412	239.650186	0.007509	4.0
402	-0.368086	239.364207	0.008808	4.0
403	-0.591869	239.079136	0.011101	4.7
404	-0.281629	238.794969	0.009571	4.1
405	-0.011058	238.511701	0.001794	4.2
406	-0.015526	238.229327	0.002994	3.9
407	-0.130355	237.947843	0.012694	4.2
408	-0.123719	237.667244	0.008936	4.2
409	-0.065625	237.387526	0.011982	4.1
410	-0.037783	237.108684	0.005181	3.9
411	-0.096810	236.830714	0.001822	5.1
412	-0.239168	236.553610	0.006647	4.5
413	-0.042476	236.277370	0.005042	3.9
414	-0.120701	236.001989	0.007230	3.9
415	-0.225970	235.727461	0.004601	4.0
416	-0.057608	235.453784	0.010932	4.5
417	-0.012697	235.180952	0.004957	4.3
418	-0.101312	234.908962	0.009087	4.9
419	-0.012174	234.637809	0.005360	3.8
420	-0.015996	234.367488	0.001730	4.6
421	-0.008242	234.097997	0.002771	3.9
422	-0.242662	233.829331	0.004515	4.6
423	-0.259531	233.561485	0.005296	5.5
424	-0.072037	233.294456	0.012162	4.3
425	-0.018927	233.028239	0.002090	4.1
426	-0.011943	232.762831	0.005022	4.1
427	-0.398620	232.498228	0.005308	4.8
428	-0.002982	232.234425	0.001618	4.0
429	-0.077416	231.971419	0.010528	4.2
430	-0.214949	231.709205	0.005512	4.1
431	-0.007649	231.447781	0.002943	4.6
432	-0.005636	231.187141	0.001612	3.8
433	-0.620533	230.927283	0.010054	4.1
434	-0.199706	230.668202	0.005278	4.8
435	-0.305452	230.409895	0.006818	5.3
436	-0.454751	230.152358	0.010545	3.8
437	-0.343560	229.895587	0.012485	4.2
438	-0.011350	229.639578	0.003927	3.7
439	-0.072693	229.384329	0.006835	4.5
440	-0.208673	229.129834	0.006344	3.8
441	-0.112965	228.876091	0.003972	4.4
442	-0.202395	228.623096	0.003309	5.0
443	-0.108725	228.370846	0.006345	5.0
444	-0.609562	228.119336	0.011730	4.9
445	-0.104610	227.868563	0.016116	5.4
446	-0.006178	227.618525	0.001976	5.0
